product_id,company_id,label,type,bank_name,service,currency,created_at
PRODUCT_00001,COMP_1068,CHECKING_01,checking,Banco Sabadell Empresas,sabadell_emp,EUR,2026-02-19 15:46:46
PRODUCT_00003,COMP_1198,CHECKING_01,checking,Banco Santander,santander_emp,EUR,2024-02-09 11:17:38
PRODUCT_00004,COMP_1191,CHECKING_01,checking,iberCaja,ibercaja,EUR,2025-10-21 11:53:35
PRODUCT_00007,COMP_0586,CHECKING_01,checking,Banco Sabadell Empresas,sabadell_emp,EUR,2026-03-03 14:37:27
PRODUCT_00008,COMP_0034,CHECKING_01,checking,Bankinter Empresas,bankinter_emp,EUR,2025-05-22 14:56:19
PRODUCT_00009,COMP_0677,CHECKING_01,checking,Banco Sabadell Empresas,sabadell_emp,EUR,2026-04-16 12:56:05
PRODUCT_00010,COMP_0569,CHECKING_01,checking,Banco Santander Empresas,santander_emp,EUR,2026-05-21 08:57:39
PRODUCT_00011,COMP_1213,CHECKING_01,checking,RuralVia,ruralvia_emp,EUR,2024-03-01 08:57:54
PRODUCT_00012,COMP_0909,CHECKING_01,checking,Banca March,bancamarch,EUR,2024-04-03 07:36:47
PRODUCT_00013,COMP_0924,CHECKING_01,checking,Deutsche Bank (ES) - Empresas,ins_127317,EUR,2025-02-12 11:31:25
PRODUCT_00014,COMP_0983,CHECKING_01,checking,Stripe,stripe,EUR,2026-01-27 09:45:27
PRODUCT_00015,COMP_1035,CARD_01,card,Bankinter Empresas,bankinter_emp,EUR,2026-02-10 08:43:18
PRODUCT_00016,COMP_1118,CHECKING_01,checking,Banco Sabadell Empresas,sabadell_emp,EUR,2026-04-07 15:35:51
PRODUCT_00017,COMP_0909,CHECKING_02,checking,RuralVia Empresas,ruralvia_emp,EUR,2025-02-04 15:13:16
PRODUCT_00018,COMP_1025,CARD_01,card,Banco Santander Empresas,santander_emp,EUR,2026-02-18 14:39:18
PRODUCT_00019,COMP_0449,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2026-07-30 08:44:13
PRODUCT_00020,COMP_0444,CHECKING_01,checking,Millennium bcp,millenniumbcp,EUR,2026-03-16 15:34:40
PRODUCT_00021,COMP_0993,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2025-10-15 13:07:18
PRODUCT_00022,COMP_0130,CHECKING_01,checking,iberCaja,ibercaja,EUR,2024-12-03 12:22:09
PRODUCT_00024,COMP_0864,CHECKING_01,checking,Caixabank,caixa_emp,EUR,2024-02-09 12:04:03
PRODUCT_00025,COMP_0806,CHECKING_01,checking,Banco Santander Empresas,santander_emp,EUR,2025-08-25 09:19:30
PRODUCT_00026,COMP_0411,CHECKING_01,checking,Volkswagen Financial Services,volkswagenbank,EUR,2023-06-13 07:47:40
PRODUCT_00028,COMP_1187,CHECKING_01,checking,Banking Circle GLOBAL,bc,EUR,2026-02-06 11:38:00
PRODUCT_00030,COMP_1215,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2026-07-15 10:04:46
PRODUCT_00033,COMP_0808,CHECKING_01,checking,Revolut,revolut,USD,2023-11-07 17:15:06
PRODUCT_00034,COMP_0632,CHECKING_01,checking,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-09-18 10:41:47
PRODUCT_00035,COMP_0739,EXPENSESPLATFORM_01,expensesPlatform,Caixabank,caixa_emp,EUR,2024-02-19 10:18:25
PRODUCT_00036,COMP_1021,CHECKING_01,checking,Commerzbank AG,commerzbank,EUR,2026-08-07 14:27:11
PRODUCT_00037,COMP_1135,CHECKING_01,checking,Banca March,bancamarch,EUR,2026-02-18 09:44:05
PRODUCT_00038,COMP_0101,CHECKING_01,checking,Payhawk,payhawk,EUR,2024-12-11 12:41:25
PRODUCT_00039,COMP_1229,CHECKING_01,checking,HSBC Corporate,hsbccorporate,GBP,2026-01-13 20:58:20
PRODUCT_00040,COMP_0136,CARD_01,card,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2024-09-17 13:28:16
PRODUCT_00041,COMP_1220,CHECKING_01,checking,UniCredit eBanking Global by HypoVereinsbank - UniCredit Bank AG,unicreditbusiness_de,EUR,2025-09-16 13:26:45
PRODUCT_00042,COMP_1213,CHECKING_02,checking,Banco Santander,santander_emp,EUR,2023-05-29 08:08:15
PRODUCT_00043,COMP_0365,CHECKING_01,checking,HSBC Corporate EU,hsbccorporate_eu,EUR,2026-03-23 15:44:41
PRODUCT_00045,COMP_0664,CHECKING_01,checking,Banco Santander Empresas,santander_emp,EUR,2026-02-25 09:39:18
PRODUCT_00046,COMP_0376,CHECKING_01,checking,Banco Sabadell Empresas,sabadell_emp,EUR,2025-09-16 11:04:53
PRODUCT_00047,COMP_1006,INVESTMENT_01,investment,Banca March,bancamarch,EUR,2024-02-15 14:30:25
PRODUCT_00048,COMP_0293,INVESTMENT_01,investment,Banco Santander,santander_emp,EUR,2026-07-02 15:00:06
PRODUCT_00051,COMP_0252,CHECKING_01,checking,Banking Circle GLOBAL,bc,AED,2026-05-18 09:49:25
PRODUCT_00053,COMP_0542,CHECKING_01,checking,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-03-24 12:10:37
PRODUCT_00054,COMP_0798,CHECKING_01,checking,BBVA Net Cash Empresas,bbva_emp,EUR,2025-09-12 08:33:05
PRODUCT_00056,COMP_1249,CHECKING_01,checking,Bankinter Empresas,bankinter_emp,EUR,2026-01-28 14:20:50
PRODUCT_00058,COMP_1029,CHECKING_01,checking,Banco Santander Empresas,santander_emp,EUR,2025-09-12 10:10:05
PRODUCT_00060,COMP_1141,CHECKING_01,checking,Other (customer-defined),custom,USD,2026-04-17 08:28:55
PRODUCT_00061,COMP_0343,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2025-10-17 06:53:04
PRODUCT_00062,COMP_1260,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2026-03-03 11:16:45
PRODUCT_00063,COMP_0816,CHECKING_01,checking,BBVA,bbva_emp,EUR,2023-05-29 17:08:54
PRODUCT_00064,COMP_0988,CARD_01,card,Caixabank Empresas,caixa_emp,EUR,2026-03-03 12:11:50
PRODUCT_00065,COMP_0124,CARD_01,card,Banco Santander Empresas,santander_emp,EUR,2026-05-27 13:50:00
PRODUCT_00066,COMP_0361,CHECKING_01,checking,Paypal,paypal,AUD,2023-08-28 08:41:44
PRODUCT_00067,COMP_0199,CHECKING_01,checking,Bank Austria 24You,unicredit_at,EUR,2026-05-08 14:21:10
PRODUCT_00069,COMP_0083,CHECKING_01,checking,Caixabank Empresas,caixa_emp,EUR,2026-03-24 11:51:27
PRODUCT_00070,COMP_0612,CHECKING_01,checking,BBVA,bbva_emp,USD,2024-02-09 12:08:01
PRODUCT_00071,COMP_1082,CHECKING_01,checking,BBVA Net Cash Empresas,bbva_emp,EUR,2024-09-18 09:20:06
PRODUCT_00072,COMP_0444,CARD_01,card,Banco Sabadell Empresas,sabadell_emp,EUR,2026-03-13 12:08:09
PRODUCT_00073,COMP_0560,CHECKING_01,checking,Caixabank,caixa,EUR,2025-03-03 12:49:06
PRODUCT_00074,COMP_1037,CHECKING_01,checking,BBVA Net Cash Empresas,bbva_emp,EUR,2026-03-16 12:20:44
