company_id,group_id,country,currency,erp,created_at
COMP_0218,GROUP_0113,,EUR,,2025-03-07 12:27:13
COMP_0600,GROUP_0113,ES,EUR,,2025-03-07 11:08:05
COMP_0721,GROUP_0113,,EUR,,2025-03-07 11:08:29
COMP_0995,GROUP_0113,,EUR,,2025-03-07 11:07:23
COMP_0148,GROUP_0016,,EUR,,2025-04-21 15:06:56
COMP_0203,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:17:33
COMP_0266,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:19:20
COMP_0368,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:18:51
COMP_0412,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:18:34
COMP_0765,GROUP_0016,,NAD,businessOne,2024-12-19 07:54:04
COMP_0810,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:17:59
COMP_0814,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:18:08
COMP_0828,GROUP_0016,,EUR,businessOne,2023-09-12 10:19:54
COMP_0830,GROUP_0016,,EUR,businessOne,2023-09-12 10:19:36
COMP_0895,GROUP_0016,ES,EUR,businessOne,2024-01-25 13:06:13
COMP_0942,GROUP_0016,ES,EUR,businessOne,2023-09-12 10:19:12
COMP_1029,GROUP_0016,ES,EUR,businessOne,2024-05-20 13:20:31
COMP_1151,GROUP_0016,ES,EUR,,2023-09-12 10:19:28
COMP_1199,GROUP_0016,,EUR,businessOne,2024-07-23 08:49:49
COMP_0076,GROUP_0146,ES,EUR,,2024-09-23 13:53:22
COMP_0143,GROUP_0146,ES,EUR,sage200,2024-09-23 13:51:45
COMP_0157,GROUP_0146,,EUR,,2025-05-23 09:27:33
COMP_0491,GROUP_0146,ES,EUR,sage200,2024-09-23 13:49:02
COMP_0710,GROUP_0146,ES,EUR,,2024-09-23 13:52:53
COMP_1039,GROUP_0146,ES,EUR,,2024-09-23 13:52:18
COMP_1036,GROUP_0121,,EUR,,2026-07-12 21:14:46
COMP_0524,GROUP_0006,,EUR,,2026-05-07 08:03:46
COMP_0855,GROUP_0006,,EUR,,2026-05-07 08:27:28
COMP_0957,GROUP_0006,,EUR,,2026-05-07 08:28:25
