product_id,company_id,label,type,bank_name,service,currency,created_at,granted,outstanding,liquidity
PRODUCT_00002,COMP_1008,LOAN_01,loan,Banca March,bancamarch,EUR,2026-01-28 12:50:43,,-394699.74,
PRODUCT_00005,COMP_0742,LOAN_01,loan,Other (customer-defined),custom,EUR,2026-03-26 10:34:49,-4000000,-840000,
PRODUCT_00006,COMP_0653,LOAN_01,loan,Other (customer-defined),custom,EUR,2025-08-27 15:31:35,-350000,0,
PRODUCT_00023,COMP_0248,LOAN_01,loan,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-11-13 13:36:02,-100000,-30101.12,
PRODUCT_00027,COMP_1130,LINEOFCREDIT_01,lineofcredit,Banco Sabadell,sabadell_emp,EUR,2024-05-21 15:04:34,-0.01,0,0.01
PRODUCT_00029,COMP_0803,LINEOFCREDIT_01,lineofcredit,BBVA,bbva_emp,EUR,2023-10-23 10:41:31,-1300000,-1181176.23,118823.77
PRODUCT_00031,COMP_1070,LOAN_01,loan,Bankinter Empresas,bankinter_emp,EUR,2026-03-19 12:55:37,-104500,0,
PRODUCT_00032,COMP_0827,LOAN_01,loan,Cajamar,cajamar,EUR,2023-01-17 14:55:58,,0,
PRODUCT_00044,COMP_0877,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-10-06 15:22:31,-21350000,19007594.63,40357594.63
PRODUCT_00049,COMP_1036,LEASING_01,leasing,Bankinter Empresas,bankinter_emp,EUR,2026-07-13 10:49:58,-495000,-249057.16,
PRODUCT_00050,COMP_0369,LINEOFCREDIT_01,lineofcredit,In-house bank,inhousebanking,EUR,2026-07-01 14:12:14,-50000,-50000,
PRODUCT_00052,COMP_1232,LINEOFCREDIT_01,lineofcredit,In-house bank,inhousebanking,EUR,2026-08-26 13:08:37,,0,
PRODUCT_00055,COMP_1169,LINEOFCREDIT_01,lineofcredit,Banco Sabadell T. sec - CAL Empresas,sabadell_emp_sec,EUR,2025-11-06 07:47:17,-160000,-136828.98,23171.02
PRODUCT_00057,COMP_1025,GUARANTEE_01,guarantee,Banco Santander Empresas,santander_emp,EUR,2026-01-30 10:39:56,,0,
PRODUCT_00059,COMP_0653,LOAN_02,loan,Other (customer-defined),custom,EUR,2025-08-22 08:58:36,-100000,0,
PRODUCT_00068,COMP_1133,LOAN_01,loan,Intesa Sanpaolo (Corporate),intesa_sanpaolo_corporate,EUR,2025-01-23 06:48:57,-671784.98,-462457.48,
PRODUCT_00077,COMP_0007,LOAN_01,loan,Banco Santander Empresas,santander_emp,EUR,2026-05-14 14:58:26,-1000000,-938410.76,
PRODUCT_00079,COMP_0304,LINEOFCREDIT_01,lineofcredit,Banco Santander Empresas,santander_emp,EUR,2025-10-06 15:22:31,-21350000,21350000,42700000
