product_id,company_id,settlement_product_id,currency,amortization_type,interest_calc_method,amortising_frequency,granted_balance,outstanding_balance,total_periods,next_payment_date,last_payment_date,annual_interest_rate_or_spread,interest_type
PRODUCT_06719,COMP_0047,PRODUCT_04535,EUR,constant quote,30/360,monthly,270000,154978.58,33,2025-09-30 00:00:00,2025-09-16 12:31:20,0.04,fixed
PRODUCT_04223,COMP_0203,PRODUCT_00862,EUR,constant quote,30/360,monthly,1000000,1000000,84,2026-09-01 00:00:00,2026-08-06 14:14:16,0.03,fixed
PRODUCT_04218,COMP_0058,PRODUCT_03752,EUR,constant quote,30/360,monthly,1235500,1235500,67,2026-07-09 00:00:00,2026-06-09 11:49:36,0.03,fixed
PRODUCT_03014,COMP_0906,PRODUCT_06629,EUR,constant quote,30/360,monthly,300000,201324.47,39,2026-03-30 00:00:00,2026-03-10 17:05:19,0.04,fixed
PRODUCT_03158,COMP_0721,PRODUCT_03880,EUR,constant quote,30/360,monthly,1000000,464024.64,26,2026-03-11 00:00:00,2026-02-17 17:44:05,0.04,fixed
PRODUCT_01678,COMP_0087,PRODUCT_02881,EUR,constant quote,30/360,semiannually,3800000,3800000,4,2027-01-22 00:00:00,2026-07-27 12:03:42,0.05,fixed
PRODUCT_02616,COMP_1038,PRODUCT_04069,EUR,constant quote,30/360,quarterly,150000,74425.93,5,2025-10-28 00:00:00,2025-09-23 13:28:00,0,fixed
PRODUCT_03458,COMP_0721,PRODUCT_04677,EUR,constant quote,30/360,monthly,2000000,1715724.83,70,2026-03-01 00:00:00,2026-02-16 17:17:15,0.03,fixed
PRODUCT_04275,COMP_0203,PRODUCT_03737,EUR,constant quote,30/360,monthly,800000,40685.98,4,2026-06-20 00:00:00,2026-05-21 09:02:04,0.02,fixed
PRODUCT_00886,COMP_0047,PRODUCT_01919,EUR,constant quote,30/360,monthly,1500000,256287.28,8,2025-09-30 00:00:00,2025-09-15 14:35:24,0.02,fixed
PRODUCT_03273,COMP_1143,PRODUCT_07494,EUR,constant quote,30/360,monthly,750000,106058.74,5,2024-12-29 00:00:00,2024-12-27 13:07:49,0.01,fixed
PRODUCT_07825,COMP_0420,PRODUCT_05048,EUR,constant quote,30/360,monthly,1000000,547734.95,44,2026-05-31 00:00:00,2026-05-14 17:46:29,0.03,fixed
PRODUCT_05583,COMP_0721,PRODUCT_03880,EUR,constant quote,30/360,monthly,765830,42908.76,22,2026-03-04 00:00:00,2026-02-17 17:31:48,0.04,fixed
PRODUCT_04005,COMP_1267,PRODUCT_00935,EUR,constant quote,Actual/Actual ISDA,monthly,36835.12,35720.1,58,2026-06-26 00:00:00,2026-06-09 11:13:44,0.04,fixed
PRODUCT_02805,COMP_0058,PRODUCT_05998,EUR,constant quote,30/360,monthly,290000,185665.56,43,2026-05-31 00:00:00,2026-05-13 18:06:25,0.03,variable
PRODUCT_02458,COMP_0058,PRODUCT_05692,EUR,constant quote,30/360,monthly,323719.93,313822.21,58,2026-05-01 00:00:00,2026-04-27 12:37:18,0.02,variable
PRODUCT_02177,COMP_0965,PRODUCT_00662,EUR,constant quote,30/360,monthly,1322728.81,753217.97,33,2026-07-01 00:00:00,2026-06-17 17:30:08,0.01,variable
PRODUCT_04991,COMP_1267,PRODUCT_00935,EUR,constant quote,Actual/Actual ISDA,monthly,58802.68,57022.71,58,2026-06-26 00:00:00,2026-06-09 11:23:04,0.04,fixed
PRODUCT_05773,COMP_0491,PRODUCT_01103,EUR,constant quote,30/360,monthly,90000,60106,2,2025-12-15 00:00:00,2025-11-17 12:32:06,0.04,fixed
PRODUCT_01783,COMP_1036,PRODUCT_04346,EUR,constant quote,30/360,monthly,0,1417809.34,27,2026-08-14 00:00:00,2026-07-24 11:45:10,0.04,fixed
PRODUCT_04651,COMP_0965,PRODUCT_00662,EUR,constant quote,30/360,monthly,1605641.85,1443365.23,107,2026-07-01 00:00:00,2026-06-05 13:34:19,0.01,variable
PRODUCT_06361,COMP_0004,PRODUCT_07932,EUR,constant quote,30/360,monthly,300000,154912.88,21,2026-03-23 00:00:00,2026-03-13 12:57:35,0.03,fixed
PRODUCT_04046,COMP_1068,PRODUCT_01376,EUR,constant quote,30/360,monthly,200,5000,12,2026-03-05 00:00:00,2026-02-05 17:38:04,0.05,fixed
PRODUCT_02485,COMP_0047,PRODUCT_04890,EUR,constant quote,30/360,monthly,750000,112195.69,7,2025-10-14 00:00:00,2025-09-15 14:41:17,0.02,fixed
PRODUCT_07402,COMP_1267,PRODUCT_00935,EUR,constant quote,Actual/Actual ISDA,monthly,47533.02,46094.19,58,2026-06-26 00:00:00,2026-06-09 11:19:25,0.04,fixed
PRODUCT_05478,COMP_0471,PRODUCT_04123,EUR,constant quote,30/360,monthly,750000,255851.2,16,2024-03-23 00:00:00,2024-02-27 15:40:19,0.02,fixed
PRODUCT_02201,COMP_0058,PRODUCT_05998,EUR,constant quote,30/360,monthly,400000,253334.37,43,2026-05-15 00:00:00,2026-05-13 18:27:39,0.02,variable
PRODUCT_07497,COMP_0745,PRODUCT_04252,EUR,constant quote,30/360,monthly,237000,142028.22,69,2026-03-29 00:00:00,2026-03-13 13:54:11,0.02,fixed
PRODUCT_03253,COMP_0965,PRODUCT_00662,EUR,constant quote,30/360,monthly,4498867.83,3637097.97,93,2026-07-01 00:00:00,2026-06-17 17:17:58,0.01,variable
PRODUCT_05408,COMP_1072,PRODUCT_08227,EUR,constant quote,30/360,monthly,165000,162138.3,176,2025-11-01 00:00:00,2025-10-20 11:13:15,0.03,fixed
PRODUCT_07771,COMP_1185,PRODUCT_00725,EUR,constant quote,30/360,monthly,0,1695861.49,20,2024-09-30 00:00:00,2024-09-23 17:54:41,0.02,fixed
PRODUCT_04450,COMP_0365,PRODUCT_00087,EUR,constant quote,30/360,quarterly,350000,17500,1,2026-07-30 00:00:00,2026-05-05 09:47:57,0.02,variable
PRODUCT_04197,COMP_0524,PRODUCT_00547,EUR,constant quote,30/360,quarterly,500000,500000,18,2026-09-30 00:00:00,2026-07-08 18:40:21,0.02,variable
PRODUCT_02097,COMP_0258,PRODUCT_06089,EUR,constant quote,30/360,quarterly,1782979.65,1402896.57,35,2024-06-28 00:00:00,2024-06-25 16:50:50,0.03,fixed
PRODUCT_06717,COMP_0924,PRODUCT_00013,EUR,constant quote,30/360,monthly,1500000,1388822.05,55,2025-05-29 00:00:00,2025-05-16 08:08:38,0.05,fixed
PRODUCT_06687,COMP_0420,PRODUCT_03435,EUR,constant quote,30/360,monthly,862543.02,862543.02,81,2026-06-01 00:00:00,2026-05-28 18:11:36,0.03,fixed
PRODUCT_06709,COMP_1262,PRODUCT_01185,EUR,constant quote,30/360,monthly,1250000,1126169.18,127,2026-05-31 00:00:00,2026-05-26 14:14:15,0.01,variable
PRODUCT_04936,COMP_0721,PRODUCT_04141,EUR,constant quote,30/360,monthly,600000,120584.66,26,2026-02-28 00:00:00,2026-02-13 14:47:23,0.04,fixed
PRODUCT_00633,COMP_0471,PRODUCT_08210,EUR,constant quote,30/360,monthly,301280,113219.1,94,2024-03-19 00:00:00,2024-02-27 15:09:49,0,variable
PRODUCT_04293,COMP_1027,PRODUCT_01338,EUR,constant quote,30/360,monthly,141000,67190.62,77,2026-09-30 00:00:00,2026-09-15 17:34:50,0.04,fixed
PRODUCT_07630,COMP_1121,PRODUCT_00730,EUR,constant quote,30/360,monthly,25000,21633.83,41,2026-01-28 00:00:00,2026-01-12 11:16:42,0.05,fixed
PRODUCT_02580,COMP_0105,PRODUCT_06450,EUR,constant quote,30/360,monthly,36210.04,36210.04,47,2025-10-01 00:00:00,2025-10-01 16:56:08,0.05,fixed
PRODUCT_03242,COMP_0664,PRODUCT_02146,EUR,constant quote,30/360,monthly,400000,314442.6,46,2026-06-30 00:00:00,2026-06-02 16:12:49,0.02,variable
PRODUCT_01719,COMP_0721,PRODUCT_03880,EUR,constant quote,30/360,monthly,200000,26305.81,10,2026-03-13 00:00:00,2026-02-17 17:25:29,0.04,fixed
PRODUCT_02645,COMP_0058,PRODUCT_05692,EUR,constant quote,30/360,monthly,700000,700000,63,2026-05-09 00:00:00,2026-04-28 18:22:12,0.02,variable
PRODUCT_04366,COMP_0058,PRODUCT_06749,EUR,constant quote,30/360,monthly,300000,70883.1,11,2026-05-29 00:00:00,2026-05-15 13:50:47,0.02,fixed
PRODUCT_05651,COMP_0058,PRODUCT_05692,EUR,constant quote,30/360,monthly,1000000,1000000,60,2026-06-28 00:00:00,2026-06-10 10:44:40,0.02,variable
PRODUCT_07071,COMP_1070,PRODUCT_06826,EUR,constant quote,30/360,monthly,68000,45402.62,2,2025-09-14 00:00:00,2025-08-21 11:53:37,0.05,fixed
PRODUCT_03001,COMP_0578,PRODUCT_05195,EUR,constant quote,30/360,monthly,4257000,4150858.76,124,2024-10-30 00:00:00,2024-10-09 09:24:24,0.05,fixed
