group_id,erp,n_companies_in_sample
GROUP_0001,,3
GROUP_0002,,1
GROUP_0003,,4
GROUP_0004,Netsuite,2
GROUP_0005,,1
GROUP_0006,,3
GROUP_0007,,5
GROUP_0008,,6
GROUP_0009,,9
GROUP_0010,,1
GROUP_0011,,10
GROUP_0012,,1
GROUP_0013,Sage X3,12
GROUP_0014,Holded,1
GROUP_0015,Sage 50,4
GROUP_0016,SAP Business One,15
GROUP_0017,,11
GROUP_0018,,12
GROUP_0019,Microsoft Business Central,3
GROUP_0020,,6
GROUP_0021,A3 ERP,3
GROUP_0022,Netsuite,13
GROUP_0023,,17
GROUP_0024,,1
GROUP_0025,,2
GROUP_0026,,2
GROUP_0027,,1
GROUP_0028,,1
GROUP_0029,,1
GROUP_0030,LIBRA,1
GROUP_0031,Sage 200,1
GROUP_0032,,4
GROUP_0033,,2
GROUP_0034,,1
GROUP_0035,Microsoft Business Central,14
GROUP_0036,SAP Business One,1
GROUP_0037,Microsoft Navision,6
GROUP_0038,,3
GROUP_0039,,5
GROUP_0040,,3
GROUP_0041,,2
GROUP_0042,,2
GROUP_0043,,1
GROUP_0044,,13
GROUP_0045,Microsoft Business Central,2
GROUP_0046,,1
GROUP_0047,,5
GROUP_0048,,10
GROUP_0049,,2
GROUP_0050,,3
GROUP_0051,,4
GROUP_0052,,2
GROUP_0053,SAP Business One,7
GROUP_0054,,4
GROUP_0055,Microsoft Dynamics - AX 2012,4
GROUP_0056,,4
GROUP_0057,,2
GROUP_0058,,3
GROUP_0059,Microsoft Business Central,2
GROUP_0060,,3
GROUP_0061,,1
GROUP_0062,A3 ERP,1
GROUP_0063,,5
GROUP_0064,,12
GROUP_0065,Netsuite,13
GROUP_0066,Microsoft Business Central,3
GROUP_0067,,6
GROUP_0068,,4
GROUP_0069,,3
GROUP_0070,Microsoft Business Central,18
GROUP_0071,,1
GROUP_0072,,2
GROUP_0073,Microsoft Business Central,3
GROUP_0074,,1
GROUP_0075,,1
GROUP_0076,,2
GROUP_0077,,2
GROUP_0078,Microsoft Business Central,5
GROUP_0079,Microsoft Dynamics - AX 2009,15
GROUP_0080,,1
GROUP_0081,,12
GROUP_0082,Microsoft Business Central,3
GROUP_0083,,1
GROUP_0084,Netsuite,4
GROUP_0085,,1
GROUP_0086,Microsoft Dynamics - F&O,5
GROUP_0087,,9
