company_id,group_id,business_kind,sector_set,n_sectors,top_sector,top_sector_score,tenor,product_fit,kind_score,goods_score,service_score,regime_id,regime_label,confidence,n_tx,n_cat_tx,has_invoices,uncat_share,has_tpv,has_confirming,has_factoring,has_saving,has_lineofcredit,payroll_share,pos_cash_share,dso,dpo,n_customers,hhi_ar,goods_docs,service_tokens,runway_m
COMP_0001,GROUP_0147,servicio,servicios profesionales,1,servicios profesionales,0.645768,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.367407,0.120133,0.487539,0,seguridad social + nóminas,0.206691,203,194,true,5.82714e-05,0,0,0,0,0,0.290217,0,17,7,7,0.802119,0,0,0.467578
COMP_0002,GROUP_0125,servicio,servicios profesionales,1,servicios profesionales,0.556566,6 meses,Yield · barrido | Reserve · póliza,0.259231,0.100041,0.359272,2,cobros,0.185594,581,218,false,0.700933,0,0,0,0,0,0.00358477,0,,,,,,,
COMP_0003,GROUP_0044,mixto,holding / tesorería,1,holding / tesorería,0.90563,largo,Reserve · póliza | FX Shield | Yield · barrido,0.0108618,0.212364,0.223226,2,cobros,0.141188,427,320,true,0.235338,0,0,0,0,0,0,9.30825e-07,60,60,3,0.727689,0,0,0.0247717
COMP_0004,GROUP_0058,producto,mayorista / distribución | holding / tesorería,2,mayorista / distribución,0.671241,12 meses,Reserve · póliza | Factoring | FX Shield | Confirming,-0.195007,0.638979,0.443972,3,liquidación de efectivo + retirada de efectivo,0.0613179,2088,1394,true,0.0470686,0,1,0,0,1,0.0394504,0.00563294,90,8.5,47,0.424934,0,0,0.328366
COMP_0005,GROUP_0092,producto,comercio minorista,1,comercio minorista,0.931079,días,Yield · barrido | Reserve · póliza | FX Shield,-0.136081,0.461475,0.325393,3,liquidación de efectivo + retirada de efectivo,0.0478828,171,147,false,0.0566807,0,0,0,0,0,0,0.494261,,,,,,,7.04173
COMP_0006,GROUP_0195,producto,holding / tesorería | comercio minorista | hostelería,3,holding / tesorería,0.606907,largo,Reserve · póliza | Yield · barrido | FX Shield,-0.1227,0.383074,0.260374,0,seguridad social + nóminas,0.10626,266,250,true,0.0665719,0,0,0,0,0,0.0714392,0.0205179,60,59,7,0.531866,0,0,0.470783
COMP_0007,GROUP_0064,producto,mayorista / distribución | comercio minorista,2,mayorista / distribución,0.7035,12 meses,Reserve · póliza | FX Shield | Yield · barrido,-0.162591,0.844656,0.682065,1,liquidación TPV + cobros masivos,0.0862862,6177,4844,false,0.18846,0,1,1,0,1,0.0187266,0.016887,,,,,,,0.368373
COMP_0008,GROUP_0195,mixto,comercio minorista,1,comercio minorista,0.753629,días,Reserve · póliza | FX Shield | Yield · barrido,-0.0560624,0.465198,0.409136,3,liquidación de efectivo + retirada de efectivo,0.105785,1591,1137,true,0.0805423,0,0,0,0,0,0.0205498,0.143134,0,30,33,0.193316,0,0,0.700527
COMP_0009,GROUP_0225,producto,comercio minorista,1,comercio minorista,0.608657,días,Reserve · póliza | FX Shield | Yield · barrido,-0.236021,0.414762,0.178742,0,seguridad social + nóminas,0.0425927,1213,893,true,0.131532,0,0,0,0,0,0.0195405,0.00185649,5.5,6,11,0.737899,0,0,0.0488102
COMP_0010,GROUP_0013,mixto,servicios profesionales | mayorista / distribución,2,servicios profesionales,0.53722,6 meses,Factoring | Reserve · póliza | Confirming | Yield · barrido,-0.0148346,0.329198,0.314363,0,seguridad social + nóminas,0.00428426,240,229,true,0.000336358,0,0,0,0,0,0.0344956,0,1,14,18,0.285219,0,0,0.688259
