company_id,group_id,country,currency,erp,n_debt_products,debt_granted,debt_outstanding,debt_util,tiene_deuda_producto,tiene_facturas,tiene_erp,paga_deuda_banco,tiene_saldo,meses_historia,saldo_inconsistente,cuentas_moneda_distinta
COMP_0218,GROUP_0113,,EUR,,,,,,False,True,False,True,True,20.0,False,False
COMP_0600,GROUP_0113,ES,EUR,,4.0,402334.0,763503.36,1.0,True,True,False,False,True,20.0,False,False
COMP_0721,GROUP_0113,,EUR,,9.0,4739639.16,3612055.6,0.7620950621059516,True,True,False,True,True,20.0,False,False
COMP_0995,GROUP_0113,,EUR,,2.0,450000.0,550429.87,1.0,True,True,False,False,True,20.0,False,False
COMP_0148,GROUP_0016,,EUR,,,,,,False,False,False,False,True,14.0,False,False
COMP_0203,GROUP_0016,ES,EUR,businessOne,12.0,4256607.09,1503216.6800000002,0.3531490335416418,True,True,True,True,True,24.0,False,False
COMP_0266,GROUP_0016,ES,EUR,businessOne,,,,,False,False,True,True,True,24.0,True,False
COMP_0368,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,False,True,24.0,True,False
COMP_0412,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,False
COMP_0765,GROUP_0016,,NAD,businessOne,,,,,False,True,True,False,True,22.0,False,True
COMP_0810,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,False
COMP_0814,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,False
COMP_0828,GROUP_0016,,EUR,businessOne,,,,,False,True,True,False,True,24.0,True,True
COMP_0830,GROUP_0016,,EUR,businessOne,,,,,False,False,True,False,True,24.0,True,True
COMP_0895,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,False
COMP_0942,GROUP_0016,ES,EUR,businessOne,6.0,210020.22999999998,50020.24,0.23816867546521592,True,True,True,False,True,24.0,False,False
COMP_1029,GROUP_0016,ES,EUR,businessOne,,,,,False,True,True,True,True,24.0,False,False
COMP_1151,GROUP_0016,ES,EUR,,,,,,False,False,False,True,True,11.0,False,False
COMP_1199,GROUP_0016,,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,False
COMP_0076,GROUP_0146,ES,EUR,,3.0,64439.59,18130.47,0.28135607318420247,True,False,False,True,True,24.0,True,False
COMP_0143,GROUP_0146,ES,EUR,sage200,1.0,20500.0,21994.11,1.0,True,True,True,True,True,24.0,True,False
COMP_0157,GROUP_0146,,EUR,,,,,,False,False,False,True,True,17.0,False,False
COMP_0491,GROUP_0146,ES,EUR,sage200,16.0,1434713.74,476395.39,0.3320490887610793,True,True,True,True,True,24.0,True,False
COMP_0710,GROUP_0146,ES,EUR,,,,,,False,False,False,True,True,24.0,False,False
COMP_1039,GROUP_0146,ES,EUR,,4.0,290000.0,52077.29,0.17957686206896553,True,False,False,True,True,24.0,True,False
COMP_1036,GROUP_0121,,EUR,,37.0,154328098.9,16391732.61,0.10621353290058573,True,False,False,True,True,4.0,False,False
COMP_0524,GROUP_0006,,EUR,,8.0,7300000.0,3636829.08,0.49819576438356167,True,False,False,True,True,6.0,True,True
COMP_0855,GROUP_0006,,EUR,,12.0,13002600.0,7039156.17,0.5413652784827649,True,False,False,True,True,6.0,False,True
COMP_0957,GROUP_0006,,EUR,,4.0,1350000.0,400422.22000000003,0.2966090518518519,True,False,False,False,True,6.0,False,False
COMP_0047,GROUP_0018,,EUR,businessCentral,20.0,4898978.54,2492447.86,0.5087688871566275,True,True,True,True,True,20.0,False,False
COMP_0326,GROUP_0018,,EUR,businessCentral,9.0,8827891.48,4376955.29,0.4958098204895468,True,True,True,False,True,18.0,True,False
COMP_0398,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,True,True,20.0,True,False
COMP_0422,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,True,True,14.0,False,False
COMP_0565,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,True,True,12.0,False,False
COMP_0599,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,False,True,14.0,False,False
COMP_0729,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,False,True,19.0,False,False
COMP_0935,GROUP_0018,,EUR,businessCentral,1.0,1500000.0,500044.97,0.3333633133333333,True,True,True,True,True,12.0,False,False
COMP_0979,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,True,True,20.0,False,False
COMP_1038,GROUP_0018,,EUR,businessCentral,32.0,73413509.83,5303071.88,0.07223564017413224,True,True,True,True,True,20.0,False,False
COMP_1113,GROUP_0018,,EUR,businessCentral,1.0,135200.0,129603.28,0.9586041420118343,True,True,True,True,True,14.0,False,False
COMP_1183,GROUP_0018,,EUR,businessCentral,,,,,False,True,True,False,True,20.0,False,False
COMP_0042,GROUP_0162,US,USD,businessOne,1.0,65089.46,0.0,0.0,True,True,True,False,True,24.0,False,True
COMP_0278,GROUP_0162,FR,EUR,businessOne,,,,,False,True,True,False,True,24.0,True,False
COMP_0423,GROUP_0162,,EUR,businessOne,,,,,False,True,True,False,True,24.0,False,True
COMP_0440,GROUP_0162,,VND,businessOne,,,,,False,True,True,False,False,24.0,False,True
COMP_0471,GROUP_0162,ES,EUR,businessOne,22.0,17039388.59,10365512.89,0.6083265743515742,True,True,True,True,True,24.0,True,True
COMP_0578,GROUP_0162,ES,EUR,businessOne,2.0,5450858.76,4786902.95,0.8781924391671452,True,True,True,True,True,24.0,False,False
COMP_0694,GROUP_0162,FR,EUR,businessOne,,,,,False,True,True,False,True,24.0,True,False
COMP_0945,GROUP_0162,ES,EUR,businessOne,,,,,False,True,True,True,True,24.0,False,True
COMP_0105,GROUP_0079,,EUR,dynamicsAx,1.0,36210.04,36210.04,1.0,True,True,True,True,True,23.0,False,False
COMP_0130,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,True,True,23.0,False,False
COMP_0161,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,21.0,False,False
COMP_0342,GROUP_0079,,EUR,dynamicsAx,2.0,3500000.0,321924.44,0.09197841142857142,True,True,True,True,True,23.0,False,False
COMP_0381,GROUP_0079,,EUR,dynamicsAx,1.0,25574.45,13426.42,0.524993499371443,True,True,True,True,True,23.0,False,False
COMP_0500,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,23.0,False,False
COMP_0510,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,21.0,False,False
COMP_0533,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,21.0,False,False
COMP_0575,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,23.0,False,False
COMP_0615,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,True,True,23.0,False,False
COMP_0903,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,23.0,False,False
COMP_1046,GROUP_0079,,EUR,dynamicsAx,7.0,8619017.74,4276576.71,0.4961791284119111,True,True,True,True,True,23.0,False,False
COMP_1143,GROUP_0079,,EUR,dynamicsAx,5.0,648556.91,19210.67,0.029620638842626775,True,True,True,True,True,23.0,False,False
COMP_1209,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,True,True,23.0,False,False
COMP_1256,GROUP_0079,,EUR,dynamicsAx,,,,,False,True,True,False,True,23.0,False,False
COMP_0099,GROUP_0238,ESPAÑA,EUR,sage200,6.0,1243355.0,583603.18,0.4693777561517025,True,True,True,True,True,24.0,False,False
COMP_0778,GROUP_0238,ESPAÑA,EUR,sage200,,,,,False,True,True,True,True,24.0,False,False
COMP_0906,GROUP_0238,ES,EUR,sage200,2.0,251324.47,193810.29,0.7711556698000795,True,True,True,False,False,,False,False
COMP_1074,GROUP_0238,,EUR,sage200,,,,,False,True,True,False,True,17.0,False,False
COMP_0150,GROUP_0081,,EUR,a3,2.0,184000.0,126467.53,0.6873235326086956,True,True,True,True,True,17.0,False,False
COMP_0228,GROUP_0081,,EUR,a3,2.0,127000.0,124799.83000000002,0.9826758267716537,True,True,True,True,True,20.0,False,False
COMP_0651,GROUP_0081,,EUR,a3,1.0,250000.0,192800.6,0.7712024000000001,True,True,True,True,True,20.0,True,False
COMP_0797,GROUP_0081,,EUR,a3,,,,,False,True,True,False,True,12.0,True,False
COMP_0891,GROUP_0081,,EUR,,1.0,300000.0,285198.73,0.9506624333333332,True,False,False,False,True,13.0,False,False
COMP_0897,GROUP_0081,,EUR,a3,2.0,185600.0,182270.38,0.9820602370689655,True,True,True,True,True,20.0,False,False
COMP_0932,GROUP_0081,,EUR,a3,,,,,False,True,True,False,True,8.0,False,False
COMP_1037,GROUP_0081,,EUR,a3,5.0,850930.7000000001,480154.86,0.5642702278810718,True,True,True,True,True,20.0,False,False
COMP_1072,GROUP_0081,,EUR,a3,3.0,532138.3,370185.63,0.6956568057589539,True,True,True,True,True,20.0,True,False
COMP_1077,GROUP_0081,,EUR,a3,1.0,500000.0,217711.52,0.43542304,True,True,True,True,True,20.0,False,False
COMP_1135,GROUP_0081,,EUR,a3,1.0,90000.0,85666.47,0.9518496666666667,True,True,True,True,True,20.0,False,False
COMP_1193,GROUP_0081,,EUR,a3,,,,,False,True,True,False,True,20.0,False,False
COMP_0063,GROUP_0011,,EUR,,,,,,False,False,False,False,True,7.0,False,False
COMP_0297,GROUP_0011,,EUR,,3.0,126866.17,72712.49,0.5731432579701902,True,False,False,True,True,7.0,False,False
COMP_0893,GROUP_0011,,EUR,,6.0,3500000.0,2609276.3499999996,0.7455075285714284,True,False,False,False,True,7.0,False,False
COMP_0898,GROUP_0011,,EUR,,5.0,9750000.0,6674236.43,0.6845370697435897,True,False,False,False,True,7.0,False,False
COMP_0954,GROUP_0011,,EUR,,,,,,False,False,False,False,True,7.0,True,False
COMP_0970,GROUP_0011,,EUR,,5.0,1800000.0,1164184.77,0.6467693166666667,True,False,False,False,True,7.0,True,False
COMP_1140,GROUP_0011,,EUR,,,,,,False,False,False,False,True,7.0,False,False
COMP_1205,GROUP_0011,,EUR,,,,,,False,False,False,False,True,7.0,True,False
COMP_1260,GROUP_0011,,EUR,,1.0,300000.0,0.0,0.0,True,False,False,False,True,7.0,True,False
COMP_1261,GROUP_0011,,EUR,,2.0,1572717.55,1480557.9300000002,0.9414010354243202,True,False,False,False,True,7.0,False,False
COMP_0965,GROUP_0229,,EUR,,19.0,52662732.3,34597954.43,0.6569722632868406,True,False,False,True,True,4.0,True,False
COMP_1070,GROUP_0031,,EUR,sage200,11.0,1275341.03,381915.45,0.29946143111227275,True,True,True,True,True,18.0,False,False
COMP_0415,GROUP_0204,,EUR,netsuite,2.0,300214090.0,300000000.0,0.9992868755760265,True,True,True,False,True,5.0,False,False
