company_id,group_id,sector,tipo,sector_set,n_sectors,top_sector_score,tenor,product_fit,confidence
COMP_0001,GROUP_0147,servicios profesionales,servicio,servicios profesionales,1,0.645768,6 meses,Factoring | Reserve · póliza | Yield · barrido,0.206691
COMP_0002,GROUP_0125,servicios profesionales,servicio,servicios profesionales,1,0.556566,6 meses,Yield · barrido | Reserve · póliza,0.185594
COMP_0003,GROUP_0044,holding / tesorería,mixto,holding / tesorería,1,0.90563,largo,Reserve · póliza | FX Shield | Yield · barrido,0.141189
COMP_0004,GROUP_0058,mayorista / distribución,producto,mayorista / distribución | holding / tesorería,2,0.671241,12 meses,Reserve · póliza | Factoring | FX Shield | Confirming,0.0613179
COMP_0005,GROUP_0092,comercio minorista,producto,comercio minorista,1,0.931079,días,Yield · barrido | Reserve · póliza | FX Shield,0.047882
COMP_0006,GROUP_0195,holding / tesorería,producto,holding / tesorería | comercio minorista | hostelería,3,0.606907,largo,Reserve · póliza | Yield · barrido | FX Shield,0.10626
COMP_0007,GROUP_0064,mayorista / distribución,producto,mayorista / distribución | comercio minorista,2,0.7035,12 meses,Reserve · póliza | FX Shield | Yield · barrido,0.0862857
COMP_0008,GROUP_0195,comercio minorista,mixto,comercio minorista,1,0.753629,días,Reserve · póliza | FX Shield | Yield · barrido,0.105785
COMP_0009,GROUP_0225,comercio minorista,producto,comercio minorista,1,0.608657,días,Reserve · póliza | FX Shield | Yield · barrido,0.0425927
COMP_0010,GROUP_0013,servicios profesionales,mixto,servicios profesionales | mayorista / distribución,2,0.53722,6 meses,Factoring | Reserve · póliza | Confirming | Yield · barrido,0.00428423
COMP_0011,GROUP_0234,servicios profesionales,servicio,servicios profesionales,1,0.58943,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.0198839
COMP_0012,GROUP_0087,,insuficiente,,0,,,,
COMP_0013,GROUP_0203,servicios profesionales,servicio,servicios profesionales | holding / tesorería,2,0.64197,6 meses,Reserve · póliza | Yield · barrido | Factoring | FX Shield,0.13497
COMP_0014,GROUP_0173,software / suscripción,servicio,software / suscripción | transporte / logística | construcción,3,0.78,largo,Reserve · póliza | Factoring | FX Shield | Yield · barrido,0.198042
COMP_0015,GROUP_0068,mayorista / distribución,producto,mayorista / distribución,1,0.485116,12 meses,Factoring | Confirming | Yield · barrido | Reserve · póliza,0.180962
COMP_0016,GROUP_0070,holding / tesorería,producto,holding / tesorería,1,0.963302,largo,Yield · barrido | FX Shield | Reserve · póliza,0.214375
COMP_0017,GROUP_0073,comercio minorista,producto,comercio minorista,1,0.845744,días,Yield · barrido | Reserve · póliza | FX Shield,0.0943378
COMP_0018,GROUP_0250,mayorista / distribución,producto,mayorista / distribución,1,0.47107,12 meses,Factoring | Confirming | Yield · barrido | Reserve · póliza,0.29427
COMP_0019,GROUP_0212,servicios profesionales,servicio,servicios profesionales,1,0.496085,6 meses,Reserve · póliza | Yield · barrido,0.0642103
COMP_0020,GROUP_0007,holding / tesorería,servicio,holding / tesorería,1,0.794428,largo,Yield · barrido | FX Shield | Reserve · póliza,0.157486
COMP_0021,GROUP_0023,servicios profesionales,servicio,servicios profesionales,1,0.603153,6 meses,Factoring | Yield · barrido | Reserve · póliza,0.0265898
