company_id,group_id,sector,tipo,tenor,sku,on_mesa,in_book,notional,persist,take_y1_35,take_3y_35
COMP_0001,GROUP_0147,servicios profesionales,servicio,6 meses,factoring,true,true,156000,0.166667,819.002,955.503
COMP_0004,GROUP_0058,mayorista / distribución,producto,12 meses,factoring,true,true,191003,0.125,1002.77,1128.11
COMP_0005,GROUP_0092,comercio minorista,producto,días,yield,true,true,68715,0.25,240.502,315.659
COMP_0007,GROUP_0064,mayorista / distribución,producto,12 meses,fx,true,true,2.54463e+07,0.833333,13359.3,33769.4
COMP_0008,GROUP_0195,comercio minorista,mixto,días,fx,true,true,635.405,0.0416667,0.333588,0.348066
COMP_0010,GROUP_0013,servicios profesionales,mixto,6 meses,factoring,true,true,254687,0.375,1337.11,1838.52
COMP_0014,GROUP_0173,software / suscripción,servicio,largo,factoring,true,true,826097,0.791667,4337.01,7770.48
COMP_0014,GROUP_0173,software / suscripción,servicio,largo,reserve,true,true,255.53,0.333333,0.447177,0.645923
COMP_0015,GROUP_0068,mayorista / distribución,producto,12 meses,yield,true,true,37531.7,0.708333,131.361,290.316
COMP_0016,GROUP_0070,holding / tesorería,producto,largo,yield,true,true,7.57266e+06,1,26504.3,79513
COMP_0017,GROUP_0073,comercio minorista,producto,días,yield,true,true,5721.58,0.708333,20.0255,44.2578
COMP_0020,GROUP_0007,holding / tesorería,servicio,largo,fx,true,true,1.931e+07,0.333333,10137.7,14643.4
COMP_0021,GROUP_0023,servicios profesionales,servicio,6 meses,factoring,true,true,111748,0.0833333,586.675,635.565
COMP_0021,GROUP_0023,servicios profesionales,servicio,6 meses,yield,true,true,28937.1,0.291667,101.28,139.436
COMP_0023,GROUP_0237,hostelería,servicio,6 meses,factoring,true,true,875512,0.541667,4596.44,7086.17
COMP_0024,GROUP_0222,comercio minorista,mixto,días,yield,true,true,942600,0.5,3299.1,5773.42
COMP_0025,GROUP_0211,servicios profesionales,servicio,6 meses,factoring,true,true,4.94554e+06,0.958333,25964.1,50846.3
COMP_0027,GROUP_0241,transporte / logística,servicio,días,factoring,true,true,2.08995e+06,0.333333,10972.2,14629.6
COMP_0028,GROUP_0218,construcción,mixto,6 meses,yield,true,true,11512.9,1,40.2951,120.885
COMP_0030,GROUP_0126,comercio minorista,producto,días,fx,true,true,1.42799e+07,1,7496.94,22490.8
COMP_0035,GROUP_0115,holding / tesorería,producto,largo,fx,true,true,1.09655e+07,0.375,5756.86,8725.25
COMP_0035,GROUP_0115,holding / tesorería,producto,largo,yield,true,true,527451,1,1846.08,5538.24
COMP_0036,GROUP_0103,servicios profesionales,servicio,6 meses,yield,true,true,234229,0.833333,819.803,2072.28
COMP_0038,GROUP_0104,holding / tesorería,servicio,largo,fx,true,true,16909.2,0.166667,8.87732,10.6035
COMP_0041,GROUP_0149,holding / tesorería,servicio,largo,factoring,true,true,529041,0.166667,2777.47,3240.38
COMP_0042,GROUP_0162,comercio minorista,servicio,días,fx,true,true,352934,0.833333,185.29,468.373
COMP_0043,GROUP_0185,holding / tesorería,producto,largo,fx,true,true,128450,0.291667,67.436,92.8416
COMP_0044,GROUP_0241,holding / tesorería,servicio,largo,factoring,true,true,441569,0.208333,2318.24,2801.2
COMP_0047,GROUP_0018,software / suscripción,producto,largo,factoring,true,true,381877,0.583333,2004.86,3174.36
COMP_0048,GROUP_0241,servicios profesionales,servicio,6 meses,factoring,true,true,2.93226e+06,0.25,15394.4,19242.9
COMP_0049,GROUP_0180,servicios profesionales,servicio,6 meses,factoring,true,true,514868,0.208333,2703.06,3266.2
COMP_0049,GROUP_0180,servicios profesionales,servicio,6 meses,yield,true,true,405.29,0.666667,1.41852,2.99464
COMP_0052,GROUP_0142,comercio minorista,producto,días,yield,true,true,10171.6,0.791667,35.6006,86.0967
COMP_0054,GROUP_0217,holding / tesorería,servicio,largo,yield,true,true,8.38914e+06,0.791667,29362,71009.1
COMP_0057,GROUP_0122,servicios profesionales,servicio,6 meses,factoring,true,true,1.37778e+06,0.375,7233.34,9945.84
COMP_0057,GROUP_0122,servicios profesionales,servicio,6 meses,yield,true,true,12711.8,0.0833333,44.4915,48.5081
